chunk_id,section_idx,section_header,insurance_topic,start_line,end_line,page,preview,chunk_text
1,6,제8조(보험금의 청구) ································,"보험금, 청구, 철회, 청약, 계약, 알릴 의무, 보험수익자",27,33,,제8조(보험금의 청구) ·········································13 ❸ 계,"제8조(보험금의 청구) ·········································13
❸ 계약 전 알릴 의무 계약 전 알릴 의무가 무엇인가요? 제13조(계약 전 알릴 의무) ·································16
❹ 보험계약의
성립과 유지
청약을 철회하고 싶어요. 제17조(청약의 철회) ··········································17
보험수익자를 변경하고 싶어요. 제20조(계약내용의 변경 등) ·······························18
❺ 보험료의 납입
보험료 납입할 때 유의할 점은
무엇인가요?"
2,79,20. COMMUNICABLE DISEASE EXCLUSION(감염병 면책조항)【,"보험금, 청구, 지급, 청약, 계약, 피보험자, 손해, 배상",129,156,5,20. COMMUNICABLE DISEASE EXCLUSION(감염병 면책조항)【LMA5399】 58  [P,"20. COMMUNICABLE DISEASE EXCLUSION(감염병 면책조항)【LMA5399】 58

[Page 5]
하나 펫사랑보험 약관 | 5
가입자 유의사항
보험계약 관련 특히 유의할 사항
◎ 보험계약 전 알릴의무 위반
계약자, 피보험자 또는 이들의 대리인은 청약할 때 청약서(질문서를 포함합니다)에서 질문한 사항에 대하여 알고
있는 사실을 반드시 사실대로 회사에 알려야 합니다. 그렇지 않은 경우 보험금 지급이 거절되거나 보험계약이 해
지될 수 있습니다.
전화 등 통신수단을 통해 보험에 가입하는 경우에는 별도의 서면질의서 없이 판매자의 질문에 답하고 이를 녹음
하는 방식으로 계약 전 알릴의무를 이행하여야 하므로 답변에 특히 신중하여야 합니다.
◎ 상해 및 질병 관련 보장
이 보험이 상해 등 외래의 사고만을 보험금 지급대상으로 하는지, 질병도 보험금 지급대상으로 하는지, 몇 세까지
보장하는지 등 구체적인 보험금 지급사유를 반드시 확인하시기 바랍니다.
◎ 재물 및 배상책임 관련 보장
타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 반드시 이를 회사에 알려야 하며, 이를 알리
지 않았을 때에는 그 타인은 이 계약이 체결된 사실을 알지 못하였다는 사유로 회사에 이의를 제기할 수 없으며,
보험사고가 발생한 경우에 계약자가 그 타인에게 보험사고의 발생으로 생긴 손해를 배상한 때에는 계약자는 그
타인의 권리를 해하지 않는 범위 안에서 회사에 보험금의 지급을 청구할 수 있습니다.
보험금 지급관련 유의할 사항
◎ 다수계약의 비례보상에 관한 사항
이 계약에서 보장하는 위험과 같은 위험을 보장하는 다른 계약(공제계약 포함)이 있을 경우에는 약관에서 정한
비율에 따라 보험금을 계산하여 지급합니다.
이 가입자 유의사항은 약관의 주요내용을 요약 발췌한 것이므로
기타 자세한 사항은 해당약관(보통약관, 특별약관)의 내용을 따릅니다.

[Page 6]
6 | 하나 펫사랑보험 약관
주요내용 요약서"
3,83,4. 계약의 무효,"보험금, 지급, 계약, 피보험자, 배상",171,175,,4. 계약의 무효 다음 중 한 가지에 해당되는 경우에는 계약을 무효로 하며 이미 납입한 보험료를 돌려 드립니,"4. 계약의 무효
다음 중 한 가지에 해당되는 경우에는 계약을 무효로 하며 이미 납입한 보험료를 돌려 드립니다.
- 타인의 사망을 보험금 지급사유로 하는 계약에서 계약을 체결할 때까지 피보험자의 서면에 의한 동의를 얻지 않은
경우. 다만, 단체계약의 경우는 제외
- 만 15세 미만자, 심신상실자 또는 심신박약자를 피보험자로 하여 사망을 보험금 지급사유로 한 경우
- 계약을 체결할 때 계약에서 정한 피보험자의 나이에 미달되었거나 초과되었을 경우
- 재물 및 배상책임보험계약을 맺기 전에 이미 보험의 목적에 사고가 발생한 경우"
4,86,7. 계약 전·후 알릴 의무,"보험금, 지급, 해지, 청약, 계약, 알릴 의무, 피보험자",185,190,,"7. 계약 전·후 알릴 의무 1) 계약 전 알릴 의무: 계약자, 피보험자 또는 이들의 대리인은 청약할 때 청","7. 계약 전·후 알릴 의무
1) 계약 전 알릴 의무: 계약자, 피보험자 또는 이들의 대리인은 청약할 때 청약서의 질문사항에 사실대로 기재하고 자
필서명(날인(도장을 찍음) 및 전자서명 포함)을 하셔야 합니다. (단, 전화를 이용하여 계약을 체결하는 경우에는 음
성녹음으로 대체합니다.)
2) 계약 후 알릴의무: 계약자 또는 피보험자는 보험계약을 맺은 후 약관에서 정한 계약후 알릴 의무가 생긴 경우에는
지체 없이 회사에 알리고 보험증권에 확인을 받아야 합니다.
3) 알릴 의무 위반의 효과
약관에 정한 방법에 따라 계약을 해지하거나 보험금 지급이 제한될 수 있습니다."
5,87,8. 보험금의 지급,"보험금, 청구, 지급, 피보험자, 손해, 정의, 이자, 배상",193,201,7,8. 보험금의 지급 보험금 청구서류를 접수한 때에는 접수증을 드리고 그 서류를 접수한 날부터 신체손해에 관한,"8. 보험금의 지급
보험금 청구서류를 접수한 때에는 접수증을 드리고 그 서류를 접수한 날부터 신체손해에 관한 보험금은 3영업일, 재물
손해, 배상책임손해에 대한 보험금은 그 서류를 접수받은 후 지체 없이 지급할 보험금을 결정하고 지급할 보험금이 결

[Page 7]
하나 펫사랑보험 약관 | 7
정되면 7일 이내에 지급하여 드립니다.
다만, 회사가 보험금 지급사유를 조사 및 확인하기 위해 지급기일을 초과할 것이 명백히 예상되는 경우에는 그 구체적
인 사유와 지급예정일 및 보험금 가지급제도(회사가 추정하는 보험금의 50% 이내를 지급)에 대하여 피보험자 또는 보
험수익자에게 즉시 통지합니다. 회사가 지급기일내에 보험금을 지급하지 않았을 때에는 그 다음날부터 지급일까지의
기간에 대하여 소정의 이자를 보험금에 더하여 지급합니다."
6,88,9. 대위권,"보험금, 청구, 지급, 계약, 피보험자, 보험수익자, 손해, 대위권, 배상",204,248,8,9. 대위권 회사가 보험금을 지급한 때(현물보상한 경우를 포함합니다)에는 회사는 지급한 보험금 한도 내에서 ,"9. 대위권
회사가 보험금을 지급한 때(현물보상한 경우를 포함합니다)에는 회사는 지급한 보험금 한도 내에서 보험계약자 또는
피보험자가 제3자에 대하여 가지는 손해배상청구권을 취득합니다. 다만, 회사가 보상한 금액이 피보험자가 입은 손해
의 일부인 경우에는 피보험자의 권리를 침해하지 않는 범위 내에서 그 권리를 취득합니다.
이 주요내용 요약서는 약관의 주요내용을 요약 발췌한 것이므로
기타 자세한 사항은 해당약관(보통약관, 특별약관)의 내용을 따릅니다.

[Page 8]
8 | 하나 펫사랑보험 약관
보험용어 해설
◎ 보험약관
보험계약에 관하여 계약자와 보험회사 상호간에 이행하여야 할 권리와 의무를 정한 것
◎ 보험증권
계약의 성립과 그 내용을 증명하기 위하여 회사가 계약자에게 드리는 증서
◎ 보험계약자
보험회사와 계약을 체결하고 보험료 납입의무를 지는 사람
◎ 피보험자
보험사고의 대상이 되는 사람
◎ 보험수익자
보험금 지급사유가 발생하는 때에 회사에 보험금을 청구하여 받을 수 있는 사람
◎ 보험가입금액
회사와 계약자간에 약정한 금액으로 보험사고가 발생할 때 회사가 지급할 최대 보험금
◎ 보험가액
피보험이익을 금전으로 평가한 금액으로 보험목적에 발생할 수 있는 최대 손해액(회사가 실제 지급하는 보험금은 보
험가액을 초과할 수 없습니다.)
◎ 보험금
신체손해·비용손해 보장 : 피보험자가 사망, 장해, 입원 등 보험금 지급사유가 발생하였을 때 보험회사가 보험 수익자
에게 지급하는 금액
재물손해·배상책임 보장 : 피보험자가 재물손해, 배상책임손해 등 보험금 지급사유가 발생하 였을 때 보험회사가 피
보험자에게 지급하는 금액
◎ 자기부담금
보험사고로 인하여 발생한 손해에 대하여 계약자 또는 피보험자가 부담하는 일정 금액
◎ 보험기간
계약에 따라 보장을 받는 기간
◎ 보장개시일
보험회사가 보험금 지급의무가 시작되는 날
◎ 영업일
회사가 영업점에서 정상적으로 영업하는 날을 말하며, 토요일, ‘관공서의 공휴일에 관한 규정’에 따른 공휴일과 근로자
의 날은 제외

[Page 9]
"
7,108,가. 연단위 복리 : 회사가 지급할 금전에 이자를 줄 때 1년마다 마지막 날에 그,"지급, 이자",279,284,,가. 연단위 복리 : 회사가 지급할 금전에 이자를 줄 때 1년마다 마지막 날에 그 이자를 원금에 더한 금액을,"가. 연단위 복리 : 회사가 지급할 금전에 이자를 줄 때 1년마다 마지막 날에 그 이자를 원금에 더한 금액을 다음 1년
의 원금으로 하는 이자 계산방법을 말합니다.
【연단위 복리】
회사가 지급할 금전에 이자를 줄 때 1년마다 마지막 날에 그 이자를
원금에 더한 금액을 다음 1년의 원금으로 하는 이자 계산방법을 말합니다.
원금 100원, 이자율 연 10%를 가정할 때
- 1년 후 : 100원 + (100원 × 10%) = 110원
- 2년 후 : 110원 + (110원 × 10%) = 121원"
8,120,제4조(보상하는 손해),"보험금, 지급, 계약, 갱신, 피보험자, 손해",309,313,,제4조(보상하는 손해) ① 회사는 보험기간 중에 보험증권에 기재된 반려동물에게 상해 또는 질병(이하 ‘사고’,"제4조(보상하는 손해)
① 회사는 보험기간 중에 보험증권에 기재된 반려동물에게 상해 또는 질병(이하 ‘사고’라 합니다)이 발생하여 수의사
에게 치료를 받은 때에는 피보험자가 부담한 반려동물의 치료비를 이 약관에 따라 피보험자에게 보험가입금액을
한도로 치료비보험금을 보상하여 드립니다. 단, 갱신계약의 경우에는 최초 보험가입 시점 이후의 사고에 의한 경우
에는 보험금을 지급합니다.
② 반려동물이 제1항의 사고로 치료를 받던 중에 보험기간이 만료된 경우에는 만료일부터 180일 이내의 치료비는 보
상하여 드립니다. 다만 사고일 또는 발병일로부터 365일 이내의 치료인 경우에 한합니다."
9,179,제9조(보험금등의 지급절차),"보험금, 청구, 지급, 계약, 피보험자, 이자",407,420,,제9조(보험금등의 지급절차) ① 회사는 제8조(보험금의 청구)에서 정한 서류를 접수한 때에는 접수증을 교부하,"제9조(보험금등의 지급절차)
① 회사는 제8조(보험금의 청구)에서 정한 서류를 접수한 때에는 접수증을 교부하고, 그 서류를 접수받은 후 지체없이
지급할 보험금을 결정하고 지급할 보험금이 결정되면 7일 이내에 이를 지급하여 드립니다. 또한, 지급할 보험금이
결정되기 전이라도 피보험자의 청구가 있을 때에는 회사가 추정한 보험금의 50% 상당액을 가지급보험금으로 지급
합니다.
② 회사는 제1항의 지급보험금이 결정된 후 7일이 지나도록 보험금을 지급하지 않았을 때에는 지체된 날부터 지급일
까지 <부표> ‘보험금을 지급할 때의 적립이율’에 따라 연단위 복리로 계산한 금액을 보험금에 더하여 지급합니다.
그러나 계약자 또는 피보험자의 책임 있는 사유로 지체된 경우에는 그 해당기간에 대한 이자를 더하여 지급하지 않
습니다.
기 간 지 급 이 자
지급기일의 다음 날부터 30일 이내 기간 보험계약대출이율
지급기일의 31일이후부터 60일이내 기간 보험계약대출이율+ 가산이율(4.0%)
지급기일의 61일이후부터 90일이내 기간 보험계약대출이율+ 가산이율(6.0%)
지급기일의 91일이후 기간 보험계약대출이율+ 가산이율(8.0%)
<부표> 보험금을 지급할 때의 적립이율 계산(제9조 제2항 관련)
주) 보험계약대출이율은 보험개발원이 공시하는 보험계약대출이율을 적용합니다."
10,190,2. 피보험자가 손해배상을 함으로써 대위 취득하는 것이 있을 경우에는 그 대위권,"계약, 피보험자, 손해, 대위권, 배상",453,459,16,2. 피보험자가 손해배상을 함으로써 대위 취득하는 것이 있을 경우에는 그 대위권 ② 계약자 또는 피보험자는 ,"2. 피보험자가 손해배상을 함으로써 대위 취득하는 것이 있을 경우에는 그 대위권
② 계약자 또는 피보험자는 제1항에 의하여 회사가 취득한 권리를 행사하거나 지키는 것에 관하여 조치를 하여야 하
며, 또한 회사가 요구하는 증거 및 서류를 제출하여야 합니다.
③ 회사는 제1항, 제2항에도 불구하고 타인을 위한 보험계약의 경우에는 계약자에 대한 대위권을 포기합니다.
④ 회사는 제1항에 따른 권리가 계약자 또는 피보험자와 생계를 같이 하는 가족에 대한 것인 경우에는 그 권리를 취득
하지 못합니다. 다만, 손해가 그 가족의 고의로 인하여 발생한 경우에는 그 권리를 취득합니다.

[Page 16]
16 | 하나 펫사랑보험 약관"
11,196,3. 위험이 뚜렷이 변경되거나 변경되었음을 알았을 때,"청구, 해지, 계약, 피보험자",472,476,,3. 위험이 뚜렷이 변경되거나 변경되었음을 알았을 때 ② 회사는 제1항에 따라 위험이 감소된 경우에는 그 차,"3. 위험이 뚜렷이 변경되거나 변경되었음을 알았을 때
② 회사는 제1항에 따라 위험이 감소된 경우에는 그 차액보험료를 돌려드리며, 위험이 증가된 경우에는 통지를 받은
날부터 1개월 이내에 보험료의 증액을 청구하거나 계약을 해지할 수 있습니다.
③ 계약자 또는 피보험자는 주소 또는 연락처가 변경된 경우에는 지체 없이 이를 회사에 알려야 합니다. 다만, 계약자
또는 피보험자가 알리지 않은 경우 회사가 알고 있는 최종의 주소 또는 연락처로 등기우편 등 우편물에 대한 기록이
남는 방법으로 회사가 알린 사항은 일반적으로 도달에 필요한 기간이 지난 때에는 계약자 또는 피보험자에게 도달
한 것으로 봅니다."
12,199,제16조(보험계약의 성립),"청약, 계약",486,491,,제16조(보험계약의 성립) ① 계약은 계약자의 청약과 회사의 승낙으로 이루어집니다. ② 회사는 계약의 청약을,"제16조(보험계약의 성립)
① 계약은 계약자의 청약과 회사의 승낙으로 이루어집니다.
② 회사는 계약의 청약을 받고 보험료 전액 또는 제1회 보험료(이하 ‘제1회 보험료 등’이라 합니다)를 받은 경우에는
청약일부터 30일 이내에 승낙 또는 거절의 통지를 하며 통지가 없으면 승낙한 것으로 봅니다.
③ 회사가 청약을 승낙한 때에는 지체 없이 보험증권을 계약자에게 교부하여 드리며, 청약을 거절한 경우에는 거절통
지와 함께 받은 금액을 계약자에게 돌려드립니다.
④ 이미 성립한 계약을 연장하거나 변경하는 경우에는 회사는 보험증권에 그 사실을 기재함으로써 보험증권의 교부에
대신할 수 있습니다."
13,200,제17조(청약의 철회),"철회, 청약, 계약, 정의",494,543,18,제17조(청약의 철회) ① 계약자는 보험증권을 받은 날부터 15일 이내에 그 청약을 철회할 수 있습니다. 다,"제17조(청약의 철회)
① 계약자는 보험증권을 받은 날부터 15일 이내에 그 청약을 철회할 수 있습니다. 다만, 의무보험의 경우에는 철회의사
를 표시한 시점에 동종의 다른 의무보험에 가입된 경우에만 철회할 수 있으며, 보험기간이 90일 이내인 계약 또는
전문금융소비자가 체결한 계약은 청약을 철회할 수 없습니다.
【전문금융소비자】
보험계약에 관한 전문성, 자산규모 등에 비추어 보험계약에 따른 위험감수능력이 있는 자로서, 국가,
지방자치단체, 한국은행, 금융회사, 주권상장법인 등을 포함하며 ｢금융소비자 보호에 관한 법률｣ 제2
조(정의) 제9호에서 정하는 전문금융소비자를 말합니다.
【일반금융소비자】
전문금융소비자가 아닌 계약자를 말합니다.
② 제1항에도 불구하고 청약한 날부터 30일이 초과된 계약은 청약을 철회할 수 없습니다. (단, 65세 이상의 통신수단
중 전화를 이용하여 체결한 경우 45일)이 초과된 계약은 청약을 철회할 수 없습니다.
【청약철회 가능기간】
[사례1]
청약철회 가능기간
(보험증권을 받은 날부터 15일 이내까지)
2021년 4월 1일
청약일
2021년 4월 5일
보험증권을 받은 날
2021년 4월 20일
보험증권을 받은 날 + 15일
2021년 5월 1일
청약일 + 30일
[사례2]
청약철회 가능기간
(청약 후 30일이 되는 날까지)
2021년 4월 1일
청약일
2021년 4월 19일
보험증권을 받은 날
2021년 5월 1일
청약일 + 30일
2021년 5월 4일
보험증권을 받은 날 + 15일
일반적으로 계약자는 [사례1]의 경우처럼 보험증권을 받은 날부터 15일 이내에 청약을 철회할 수 있습
니다. 그러나, [사례2]의 경우처럼 보험증권을 받은 날부터 15일(2021년 5월 4일)이 청약한 날부터
30일(2021년 5월 1일)을 초과하는 경우 청약철회 가능기간은 2021년 5월 1일까지로 합니다.
③ 청약철회는 계약자가 전화로 신청하거나, 철회의사를 표시하기 위한 서면, 전자우편, 휴대전화 문자메시지 또는 이
에 준하는 전자적 의사표시(이하 "
14,200,제17조(청약의 철회),"보험금, 청구, 지급, 철회, 청약, 계약",494,543,18,럼 보험증권을 받은 날부터 15일(2021년 5월 4일)이 청약한 날부터 30일(2021년 5월 1일)을 초,"럼 보험증권을 받은 날부터 15일(2021년 5월 4일)이 청약한 날부터
30일(2021년 5월 1일)을 초과하는 경우 청약철회 가능기간은 2021년 5월 1일까지로 합니다.
③ 청약철회는 계약자가 전화로 신청하거나, 철회의사를 표시하기 위한 서면, 전자우편, 휴대전화 문자메시지 또는 이
에 준하는 전자적 의사표시(이하 ‘서면 등’이라 합니다)를 발송한 때 효력이 발생합니다. 계약자는 서면 등을 발송한
때에 그 발송 사실을 회사에 지체없이 알려야 합니다.
④ 계약자가 청약을 철회한 때에는 회사는 청약의 철회를 접수한 날부터 3영업일 이내에 납입한 보험료를 계약자에게
돌려 드리며, 보험료 반환이 늦어진 기간에 대하여는 보험개발원이 공시하는 보험계약대출이율을 연단위 복리로
계산한 금액을 더하여 지급합니다. 다만, 계약자가 제1회 보험료 등을 신용카드로 납입한 계약의 청약을 철회하는
경우에 회사는 청약의 철회를 접수한 날부터 3영업일 이내에 해당 신용카드회사로 하여금 대금청구를 하지 않도록
해야 하며, 이 경우 회사는 보험료를 반환한 것으로 봅니다.
⑤ 청약을 철회할 때에 이미 보험금 지급사유가 발생하였으나 계약자가 그 보험금 지급사유가 발생한 사실을 알지 못

[Page 18]
18 | 하나 펫사랑보험 약관
한 경우에는 청약철회의 효력은 발생하지 않습니다.
⑥ 제1항에서 보험증권을 받은 날에 대한 다툼이 발생한 경우 회사가 이를 증명하여야 합니다."
15,206,"2. 전화를 이용하여 청약내용, 보험료납입, 보험기간, 계약전 알릴의무, 약관의 ","지급, 청약, 계약",558,567,,"2. 전화를 이용하여 청약내용, 보험료납입, 보험기간, 계약전 알릴의무, 약관의 중요한 내용 등 계약을 체결","2. 전화를 이용하여 청약내용, 보험료납입, 보험기간, 계약전 알릴의무, 약관의 중요한 내용 등 계약을 체결하는 데
필요한 사항을 질문 또는 설명하는 방법. 이 경우 계약자의 답변과 확인내용을 음성 녹음함으로써 약관의 중요한
내용을 설명한 것으로 봅니다.
【통신판매계약】
전화․우편․인터넷 등 통신수단을 이용하여 체결하는 계약을 말합니다.
③ 회사가 제1항에 따라 제공될 약관 및 계약자 보관용 청약서를 청약할 때 계약자에게 전달하지 않거나 약관의 중요
한 내용을 설명하지 않은 때 또는 계약을 체결할 때 계약자가 청약서에 자필서명을 하지 않은 때에는 계약자는 계약
이 성립한 날부터 3개월 이내에 계약을 취소할 수 있습니다.
【자필서명】
날인(도장을 찍음) 및 전자서명법 제2조 제2호에 따른 전자서명을 포함합니다.
④ 제3항에 따라 계약이 취소된 경우에는 회사는 이미 납입한 보험료를 계약자에게 돌려 드리며, 보험료를 받은 기간
에 대하여 보험개발원이 공시하는 보험계약대출이율을 연단위 복리로 계산한 금액을 더하여 지급합니다."
16,213,"5. 보상한도액, 보험료 등 기타 계약의 내용","지급, 해지, 환급, 계약",582,589,19,"5. 보상한도액, 보험료 등 기타 계약의 내용 ② 회사는 계약자가 제1회 보험료 등을 납입한 때부터 1년 이","5. 보상한도액, 보험료 등 기타 계약의 내용
② 회사는 계약자가 제1회 보험료 등을 납입한 때부터 1년 이상 지난 유효한 계약으로서 그 보험종목의 변경을 요청할
때에는 회사의 사업방법서에서 정하는 방법에 따라 이를 변경하여 드립니다.
③ 회사는 계약자가 제1항 제5호의 규정에 의하여 보상한도액을 감액하고자 할 때에는 그 감액된 부분은 계약이 해지

[Page 19]
하나 펫사랑보험 약관 | 19
된 것으로 보며, 제31조(보험료의 환급)에 따라 보험료를 계약자에게 지급합니다.
④ 회사는 제1항에 따라 계약자를 변경한 경우, 변경된 계약자에게 보험증권 및 약관을 교부하고 변경된 계약자가 요
청하는 경우 약관의 중요한 내용을 설명하여 드립니다."
17,215,제22조(타인을 위한 계약),"보험금, 청구, 지급, 계약, 손해, 배상",596,602,20,제22조(타인을 위한 계약) ① 계약자는 타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 ,"제22조(타인을 위한 계약)
① 계약자는 타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 반드시 이를 회사에 알려야 하며, 이
를 알리지 않았을 때에는 그 타인은 이 계약이 체결된 사실을 알지 못하였다는 사유로 회사에 이의를 제기할 수 없
습니다.
② 타인을 위한 계약에서 보험사고가 발생한 경우에 계약자가 그 타인에게 보험사고의 발생으로 생긴 손해를 배상한
때에는 계약자는 그 타인의 권리를 해하지 않는 범위 안에서 회사에 보험금의 지급을 청구할 수 있습니다.

[Page 20]
20 | 하나 펫사랑보험 약관"
