chunk_id,section_idx,section_header,insurance_topic,start_line,end_line,page,preview,chunk_text
18,219,"2. 제6조(보상하지 않는 손해), 제15조(사기에 의한 계약), 제19조(계약의","해지, 계약, 갱신, 손해",613,616,,"2. 제6조(보상하지 않는 손해), 제15조(사기에 의한 계약), 제19조(계약의 무효) 또는 제28조(계약","2. 제6조(보상하지 않는 손해), 제15조(사기에 의한 계약), 제19조(계약의 무효) 또는 제28조(계약의 해지)의 규정을
준용하여 회사가 보장을 하지 않을 수 있는 경우
④ 계약자가 제1회 보험료 등을 자동이체 또는 신용카드로 납입하는 경우에는 자동이체신청 및 신용카드매출승인에
필요한 정보를 회사에 제공한 때가 제1회 보험료 등을 납입한 때가 되나, 계약자의 책임 있는 사유로 자동이체 또는
매출승인이 불가능한 경우에는 제1회 보험료 등이 납입되지 않은 것으로 봅니다.
⑤ 계약이 갱신되는 경우에는 제1항 내지 제3항에 의한 보장은 기존 계약에 의한 보장이 종료하는 때부터 적용합니다."
19,221,제25조(보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지),"보험금, 지급, 해지, 계약",625,627,,제25조(보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지) ① 계약자가 제2회 이후의 보험료를 ,"제25조(보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지)
① 계약자가 제2회 이후의 보험료를 납입기일까지 납입하지 않아 보험료 납입이 연체 중인 경우에 회사는 14일(보험
기간이 1년 미만인 경우에는 7일) 이상의 기간을 납입최고(독촉)기간으로 정하여 계약자(타인을 위한 계약의 경우
그 특정된 타인을 포함합니다)에게 다음의 내용을 서면(등기우편 등), 전화(음성녹음) 또는 전자문서 등으로 알려
드립니다. 다만, 계약이 해지되기 전에 발생한 보험금 지급사유에 대하여 회사는 계약상의 보장을 합니다."
20,223,2. 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 그 끝나는 ,"해지, 계약, 정의",631,638,,2. 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 그 끝나는 날의 다음날에 계약이 해지된,"2. 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 그 끝나는 날의 다음날에 계약이 해지된다는 내
용
② 제1항의 납입최고(독촉)기간은 납입최고(독촉)의 통지가 계약자(타인을 위한 계약의 경우에는 그 특정된 타인을
포함)에게 도달한 날부터 시작되며, 납입최고(독촉)기간의 마지막 날이 영업일이 아닌 때에는 최고(독촉)기간은 그
다음 날까지로 합니다.
③ 회사가 제1항에 따른 납입최고(독촉) 등을 전자문서로 안내하고자 할 경우에는 계약자에게 서면, 전자서명법 제2
조제2호에 따른 전자서명으로 동의를 얻어 수신확인을 조건으로 전자문서를 송신하여야 하며, 계약자가 전자문서
에 대하여 수신을 확인하기 전까지 는 그 전자문서는 송신되지 않은 것으로 봅니다. 회사는 전자문서가 수신되지
않은 것을 확인한 경우에 는 제1항에서 정한 내용을 서면(등기우편 등) 또는 전화(음성녹음)로 다시 알려 드립니다.
【전자서명법 제2조(정의)】"
21,225,제26조(보험료의 납입연체로 인한 해지계약의 부활[효력회복]),"해지, 환급, 청약, 계약, 알릴 의무",644,652,21,제26조(보험료의 납입연체로 인한 해지계약의 부활[효력회복]) ① 제25조(보험료의 납입이 연체되는 경우 납,"제26조(보험료의 납입연체로 인한 해지계약의 부활[효력회복])
① 제25조(보험료의 납입이 연체되는 경우 납입최고[독촉]와 계약의 해지)에 따라 계약이 해지되었으나 계약자가 제

[Page 21]
하나 펫사랑보험 약관 | 21
31조(보험료의 환급)에 따라 보험료를 돌려받지 않은 경우 계약자는 해지된 날부터 3년 이내에 회사가 정한 절차에
따라 계약의 부활(효력회복)을 청약할 수 있습니다. 이 경우 회사가 그 청약을 승낙한 때에는 계약자는 부활(효력회
복)을 청약한 날까지의 연체된 보험료에 보험개발원이 공시하는 월평균 정기예금이율 + 1% 범위내에서 각 상품별
로 회사가 정하는 이율로 계산한 금액을 더하여 납입하여야 합니다.
② 제1항에 따라 해지계약을 부활(효력회복)하는 경우에는 제13조(계약 전 알릴 의무), 제15조(사기에 의한 계약), 제
16조(보험계약의 성립), 제23조(제1회 보험료 등 및 회사의 보장개시) 및 제28조(계약의 해지)의 규정을 준용합니"
22,227,제27조(강제집행 등으로 인한 해지계약의 특별부활[효력회복]),"청구, 지급, 해지, 환급, 청약, 계약, 피보험자",656,668,22,제27조(강제집행 등으로 인한 해지계약의 특별부활[효력회복]) ① 타인을 위한 계약의 경우 제31조(보험료의,"제27조(강제집행 등으로 인한 해지계약의 특별부활[효력회복])
① 타인을 위한 계약의 경우 제31조(보험료의 환급)에 따른 계약자의 환급금 청구권에 대한 강제집행, 담보권실행, 국
세 및 지방세 체납처분절차에 의해 계약이 해지된 경우에는, 회사는 해지 당시의 피보험자가 계약자의 동의를 얻어
계약 해지로 회사가 채권자에게 지급한 금액을 회사에게 지급하고 제20조(계약내용의 변경 등) 제1항의 절차에 따
라 계약자 명의를 피보험자로 변경하여 계약의 특별부활(효력회복)을 청약할 수 있음을 피보험자에게 통지하여야
합니다.
② 회사는 제1항에 의한 계약자 명의변경 신청 및 계약의 특별부활(효력회복) 청약을 승낙하며, 계약은 청약한 때부터
특별부활(효력회복) 됩니다.
③ 회사는 제1항의 통지를 계약이 해지된 날부터 7일 이내에 하여야 합니다. 다만, 회사의 통지가 7일을 지나서 도달하
고 이후 피보험자가 제1항에 의한 계약자 명의변경 신청 및 계약의 특별부활(효력회복)을 청약한 경우에는 계약이
해지된 날부터 7일이 되는 날에 특별부활(효력회복) 됩니다.
④ 피보험자는 통지를 받은 날부터 15일 이내에 제1항의 절차를 이행할 수 있습니다.

[Page 22]
22 | 하나 펫사랑보험 약관"
23,229,제28조(계약의 해지),"해지, 계약, 피보험자, 손해",672,675,,"제28조(계약의 해지) ① 계약자는 손해가 발생하기 전에는 언제든지 계약을 해지할 수 있습니다. 다만, 타인","제28조(계약의 해지)
① 계약자는 손해가 발생하기 전에는 언제든지 계약을 해지할 수 있습니다. 다만, 타인을 위한 계약의 경우에는 계약자
는 그 타인의 동의를 얻거나 보험증권을 소지한 경우에 한하여 계약을 해지할 수 있습니다.
② 회사는 계약자 또는 피보험자의 고의로 손해가 발생한 경우 이 계약을 해지할 수 있습니다.
③ 회사는 아래와 같은 사실이 있을 경우에는 손해의 발생여부에 관계없이 그 사실을 안 날부터 1개월 이내에 이 계약
을 해지할 수 있습니다."
24,235,4. 보험을 모집한 자(이하 “보험설계사 등”이라 합니다)가 계약자 또는 피보험자,"해지, 계약, 피보험자, 손해",687,690,,4. 보험을 모집한 자(이하 “보험설계사 등”이라 합니다)가 계약자 또는 피보험자에게 알릴 기회를 주지 않았,"4. 보험을 모집한 자(이하 “보험설계사 등”이라 합니다)가 계약자 또는 피보험자에게 알릴 기회를 주지 않았거나 계
약자 또는 피보험자가 사실대로 알리는 것을 방해한 경우, 계약자 또는 피보험자에게 사실대로 알리지 않게 하였
거나 부실한 사항을 알릴 것을 권유했을 때. 다만, 보험설계사 등의 행위가 없었다 하더라도 계약자 또는 피보험
자가 사실대로 알리지 않거나 부실한 사항을 알렸다고 인정되는 경우에는 계약을 해지할 수 있습니다.
⑤ 제3항에 의한 계약의 해지는 손해가 생긴 후에 이루어진 경우에도 회사는 그 손해를 보상하여 드리지 않습니다. 손
해가 제3항 제1호 및 제2호의 사실로 생긴 것이 아님을 계약자 또는 피보험자가 증명한 경우에는 보상하여 드립니"
25,237,제28조의2(위법계약의 해지),"지급, 해지, 환급, 계약",696,705,,제28조의2(위법계약의 해지) ① 계약자는 ｢금융소비자 보호에 관한 법률｣ 제47조 및 관련규정이 정하는 바,"제28조의2(위법계약의 해지)
① 계약자는 ｢금융소비자 보호에 관한 법률｣ 제47조 및 관련규정이 정하는 바에 따라 계약체결에 대한 회사의 법위반
사항이 있는 경우 계약체결일부터 5년 이내의 범위에서 계약자가 위반사항을 안 날부터 1년 이내에 계약해지요구
서에 증빙서류를 첨부하여 위법계약의 해지를 요구할 수 있습니다. 다만, 의무보험의 해지를 요구하려는 경우에는
동종의 다른 의무보험에 가입되어 있어야 합니다.
② 회사는 해지요구를 받은 날부터 10일 이내에 수락여부를 계약자에 통지하여야 하며, 거절할 때에는 거절 사유를 함
께 통지하여야 합니다.
③ 계약자는 회사가 정당한 사유 없이 제1항의 요구를 따르지 않는 경우 해당 계약을 해지할 수 있습니다.
④ 제1항 및 제3항에 따라 계약이 해지된 경우 회사는 제31조(보험료의 환급) 제1항 제1호에 따른 환급금을 계약자에
게 지급합니다.
⑤ 계약자는 제1항에 따른 제척기간에도 불구하고 민법 등 관계 법령에서 정하는 바에 따라 법률상의 권리를 행사할
수 있습니다."
26,244,2. 계약자 또는 피보험자의 책임 있는 사유에 의하는 경우 : 이미 경과한 기간에,"계약, 피보험자",729,733,,2. 계약자 또는 피보험자의 책임 있는 사유에 의하는 경우 : 이미 경과한 기간에 대하여 단기요율(1년미만의,"2. 계약자 또는 피보험자의 책임 있는 사유에 의하는 경우 : 이미 경과한 기간에 대하여 단기요율(1년미만의 기간에
적용되는 요율)로 계산한 보험료를 뺀 잔액. 다만, 계약자, 피보험자의 고의 또는 중대한 과실로 무효가 된 때에는
보험료를 돌려드리지 않습니다.
② 보험기간이 1년을 초과하는 계약이 무효 또는 효력상실인 경우에는 무효 또는 효력상실이 원인이 생긴 날 또는 해
지일이 속하는 보험년도의 보험료는 위 제1항 규정을 적용하고 그 이후의 보험년도에 속하는 보험료는 전액을 돌
려드립니다.
③ 제1항 제2호에서 ‘계약자 또는 피보험자의 책임 있는 사유’라 함은 다음 각 호를 말합니다."
27,249,제32조(분쟁의 조정),"계약, 분쟁",747,751,,제32조(분쟁의 조정) ① 계약에 관하여 분쟁이 있는 경우에는 분쟁당사자 또는 기타 이해관계인과 회사는 금융,"제32조(분쟁의 조정)
① 계약에 관하여 분쟁이 있는 경우에는 분쟁당사자 또는 기타 이해관계인과 회사는 금융감독원장에게 조정을 신청할
수 있으며, 분쟁조정 과정에서 계약자는 관계 법령이 정하는 바에 따라 회사가 기록 및 유지･관리하는 자료의 열람
(사본의 제공 또는 청취를 포함한다)을 요구할 수 있습니다.
② 회사는 일반금융소비자인 계약자가 조정을 통하여 주장하는 권리나 이익의 가액이 「금융소비자 보호에 관한 법
률」 제42조에서 정하는 일정 금액 이내인 분쟁사건에 대하여 조정절차가 개시된 경우에는 관계 법령이 정하는 경
우를 제외하고는 소를 제기하지 않습니다."
28,254,제36조(설명서 교부 및 보험안내자료 등의 효력),"청약, 계약, 설명서",767,774,,제36조(설명서 교부 및 보험안내자료 등의 효력) ① 회사는 일반금융소비자에게 청약을 권유하거나 일반금융소비,"제36조(설명서 교부 및 보험안내자료 등의 효력)
① 회사는 일반금융소비자에게 청약을 권유하거나 일반금융소비자가 설명을 요청하는 경우 보험상품에 관한 중요한
사항을 계약자가 이해할 수 있도록 설명하고 계약자가 이해하였음을 서명(「전자서명법」 제2조 제2호에 따른 전
자서명을 포함), 기명날인 또는 녹취 등을 통해 확인받아야 하며, 설명서를 제공하여야 합니다.
② 설명서, 약관, 계약자 보관용 청약서 및 보험증권의 제공 사실에 관하여 계약자와 회사간에 다툼이 있는 경우에는
회사가 이를 증명하여야 합니다.
③ 보험설계사 등이 모집과정에서 사용한 회사 제작의 보험안내자료의 내용이 약관의 내용과 다른 경우에는 계약자에
게 유리한 내용으로 계약이 성립된 것으로 봅니다.
【보험안내자료】
계약의 청약을 권유하기 위해 만든 서류 등을 말합니다."
29,255,제37조(회사의 손해배상책임),"보험금, 지급, 계약, 피보험자, 손해, 배상",777,781,,"제37조(회사의 손해배상책임) ① 회사는 계약과 관련하여 임직원, 보험설계사 및 대리점의 책임있는 사유로 인","제37조(회사의 손해배상책임)
① 회사는 계약과 관련하여 임직원, 보험설계사 및 대리점의 책임있는 사유로 인하여 계약자 및 피보험자에게 발생된
손해에 대하여 관계 법령 등에 따라 손해배상의 책임을 집니다.
② 회사는 보험금 지급 거절 및 지연지급의 사유가 없음을 알았거나 알 수 있었음에도 불구하고 소를 제기하여 계약자
또는 피보험자에게 손해를 가한 경우에는 그에 따른 손해를 배상할 책임을 집니다.
③ 회사가 보험금 지급여부 및 지급금액에 관하여 현저하게 공정을 잃은 합의로 계약자 또는 피보험자에게 손해를 가
한 경우에도 회사는 제2항에 따라 손해를 배상할 책임을 집니다."
30,256,제38조(개인정보보호),"보험금, 지급, 계약, 피보험자, 개인정보",784,790,25,제38조(개인정보보호)  [Page 25] 하나 펫사랑보험 약관 | 25 ① 회사는 이 계약과 관련된 개인정,"제38조(개인정보보호)

[Page 25]
하나 펫사랑보험 약관 | 25
① 회사는 이 계약과 관련된 개인정보를 이 계약의 체결, 유지, 보험금 지급 등을 위하여 「개인정보 보호법」,「신용
정보의 이용 및 보호에 관한 법률」등 관계 법령에 정한 경우를 제외하고 계약자 또는 피보험자의 동의없이 수집,
이용, 조회 또는 제공하지 않습니다. 다만, 회사는 이 계약의 체결, 유지, 보험금 지급 등을 위하여 위 관계 법령에 따
라 계약자 및 피보험자의 동의를 받아 다른 보험회사 및 보험관련단체 등에 개인정보를 제공할 수 있습니다.
② 회사는 계약과 관련된 개인정보를 안전하게 관리하여야 합니다."
31,308,제4조(타인을 위한 계약),"보험금, 청구, 지급, 계약, 손해, 배상",933,936,,제4조(타인을 위한 계약) ① 계약자는 타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 반,"제4조(타인을 위한 계약)
① 계약자는 타인을 위한 계약을 체결하는 경우에 그 타인의 위임이 없는 때에는 반드시 이를 회사에 알려야 하며, 이
를 알리지 않았을 때에는 그 타인은 이 계약이 체결된 사실을 알리지 못하였다는 사유로 회사에 이의를 제기할 수
없습니다.
② 타인을 위한 계약에서 보험사고가 발생한 경우에 계약자가 그 타인에게 보험사고의 발생으로 생긴 손해를 배상한
때에는 계약자는 그 타인의 권리를 해하지 않는 범위 안에서 회사에 보험금 지급을 청구 할 수 있습니다."
32,320,제7조(손해배상청구에 대한 회사의 해결),"보험금, 청구, 지급, 계약, 피보험자, 손해, 배상",961,969,,제7조(손해배상청구에 대한 회사의 해결) ① 피보험자가 피해자로부터 손해배상책임을 지는 사고가 생긴 때에는 ,"제7조(손해배상청구에 대한 회사의 해결)
① 피보험자가 피해자로부터 손해배상책임을 지는 사고가 생긴 때에는 피해자는 이 특별약관에 의하여 회사가 피보험
자에게 지급책임을 지는 금액 한도 내에서 회사에 대하여 보험금의 지급을 직접 청구할 수 있습니다. 그러나 회사는
피보험자가 그 사고에 관하여 가지는 항변으로써 피해자에게 대항할 수 있습니다.
② 회사는 제1항의 청구를 받았을 때에는 지체 없이 피보험자에게 통지하여야 하며, 회사의요구가 있으면 피보험자
및 보험계약자는 필요한 서류, 증거의 제출, 증언 또는 증인 출석에 협조하여야 합니다.
③ 피보험자가 피해자로부터 손해배상의 청구를 받았을 경우에 회사가 필요하다고 인정할 때에는 피보험자를 대신하
여 회사의 비용으로 이를 해결할 수 있습니다. 이 경우 회사의 요구가 있으면 보험계약자 및 피보험자는 이에 협력
하여야 합니다.
④ 계약자 및 피보험자가 정당한 이유 없이 제2항, 제3항의 요구에 협조하지 않은 때에는 회사는 그로 인해 늘어난 손
해는 보상하여 드리지 않습니다."
33,321,제8조(보험금의 분담),"보험금, 청구, 지급, 계약, 피보험자, 손해",972,982,35,제8조(보험금의 분담) ① 회사는 이 계약에서 보장하는 위험과 같은 위험을 보장하는 다른 계약(공제계약(각종,"제8조(보험금의 분담)
① 회사는 이 계약에서 보장하는 위험과 같은 위험을 보장하는 다른 계약(공제계약(각종 공제회에 가입되어 있는 계
약)을 포함합니다)이 있을 경우에는 각 계약에 대하여 다른 계약이 없는 것으로 하여 각각 산출한 보상책임액의 합
계액이 손해액을 넘을 때에는 회사는 이 계약에 의한 보상책임액의 전기합계액(각각 산출한 보상책임액의 합계액)
에 대한 비율에 따라 보상하여 드립니다.

[Page 35]
하나 펫사랑보험 약관 | 35
② 이 계약이 의무보험이 아니고 다른 의무보험이 있는 경우에는 다른 의무보험에서 보상되는 금액(피보험자가 가입
을 하지 않은 경우에는 보상될 것으로 추정되는 금액)을 차감한금액을 손해액으로 간주하여 제1항에 의한 보상할
금액을 결정합니다.
③ 피보험자가 다른 계약에 대하여 보험금 청구를 포기한 경우에도 회사의 제1항에 의한 지급보험금 결정에는 영향을
미치지 않습니다."
34,322,제9조(합의·절충·중재·소송의 협조·대행 등),"보험금, 지급, 피보험자, 손해, 배상",985,990,,제9조(합의·절충·중재·소송의 협조·대행 등) ① 회사는 피보험자의 법률상 손해배상책임을 확정하기 위하여 피,"제9조(합의·절충·중재·소송의 협조·대행 등)
① 회사는 피보험자의 법률상 손해배상책임을 확정하기 위하여 피보험자가 피해자와 행하는 합의·절충·중재 또는 소
송(확인의 소를 포함합니다)에 대하여 협조하거나, 피보험자를 위하여 이러한 절차를 대행할 수 있습니다.
② 회사는 피보험자에 대하여 보상책임을 지는 한도(동일한 사고로 이미 지급한 보험금이나 가지급보험금이 있는 경
우에는 그 금액을 공제한 액수를 말하며, 이하 같습니다) 내에서 제1항의 절차에 협조하거나 대행합니다.
③ 회사가 제 1 항의 절차에 협조하거나 대행하는 경우에는 피보험자는 회사의 요청에 따라 협력해야 하며, 피보험자
가 정당한 이유없이 협력하지 않는 경우에는 그로 말미암아 늘어난 손해에 대해서 보상하지 않습니다.
④ 회사는 다음의 경우에는 제 1 항의 절차를 대행하지 않습니다."
35,341,제1조(보상하는 손해),"지급, 피보험자, 손해",1031,1045,,제1조(보상하는 손해) ① 회사는 피보험자가 보험기간 중에 상해를 입고 그 직접결과로써 생활기능 또는 업무능,"제1조(보상하는 손해)
① 회사는 피보험자가 보험기간 중에 상해를 입고 그 직접결과로써 생활기능 또는 업무능력에 지장을 가져와 병원 또
는 의원(한방병원 또는 한의원을 포함합니다)에서 입원(“병원” 또는 “의원”을 이전하여 입원한 경우에도 동일한 상
해의 치료를 직접 목적으로 입원한 경우에는 계속하여 입원한 것으로 보아 각 입원일수를 합산합니다.)하여 치료를
받은 경우에 보험증권에 기재된 반려동물을 수탁기관에 위탁함으로써 발생한 위탁비용을 피보험자에게 지급하여
드립니다.
② 제1항의 위탁비용은 반려동물 위탁 1일당 이 특별약관의 보험가입금액을 한도로 피보험자에게 지급합니다. 단, 위
탁비용의 지급일수는 피보험자의 1회 입원당 180일 한도로 합니다.
【입원】
이 보험에서「입원」이라 함은 의사, 치과의사 또는 한의사의 면허를 가진 자(이하 「의사」라 합니다)에 의하여 치료가
필요하다고 인정한 경우로서 자택 등에서 치료가 곤란하여 의료법 제3조(의료기관) 제2항에 규정된 병원 또는 의원
(한방병원 및 한의원을 포함합니다) 또는 이와 동등하다고 회사가 인정하는 의료기관에 입실하여 의사의 관리하에 치
료에 전념하는 것을 말합니다.
【의사】
피보험자 및 그 가족이 아닌 유면허 의료행위를 하는 자를 말합니다.
※ 이 보험의 적용에 있어 야기되는 진료수준 및 용어해석상의 모든 문제는 국민건강보험법 및 관계법령의 정하는 바
에 따르기로 합니다."
36,391,제2조(상법 제735조3의 적용),"계약, 피보험자, 보험수익자",1172,1176,,"제2조(상법 제735조3의 적용) ① 제1조(적용범위)의 단체가 피보험자를 확정할 수 있고, 계약의 일괄적 ","제2조(상법 제735조3의 적용)
① 제1조(적용범위)의 단체가 피보험자를 확정할 수 있고, 계약의 일괄적 관리가 가능하며, 규약에 따라 계약을 체결하
는 경우 피보험자의 서면에 의한 동의를 얻지 않아도 되며 계약자에게만 보험증권을 드릴 수 있습니다.
② 제1항의 규약은 보험의 종류 및 일괄 가입에 관한 사항이 포함되어야 하며, 동의 또는 협의를 통하여 피보험자들의
의사가 규약에 반영될 수 있어야 합니다. 다만, 보험수익자를 계약자 등 피보험자의 이해에 반하는 자로 지정하는
경우에는 해당 내용이 규약에 반영되어야 하며, 반영되지 않은 경우에는 별도 피보험자의 동의를 받아야 합니다.
③ 회사는 계약자를 통해 단체의 규약이 제2항을 충족하고 있는지 확인해야 하며, 계약자는 이에 협조하여야 합니다."
37,393,제4조(피보험자의 증가·감소 또는 교체),"해지, 환급, 계약, 피보험자",1184,1191,,"제4조(피보험자의 증가·감소 또는 교체) ① 계약을 맺은 후 피보험자를 증가, 감소 또는 교체코자 하는 경우","제4조(피보험자의 증가·감소 또는 교체)
① 계약을 맺은 후 피보험자를 증가, 감소 또는 교체코자 하는 경우에는 계약자 또는 피보험자는 지체없이 서면으로
그 사실을 회사에 알리고 회사의 승인을 받아야 합니다.
② 이 계약기간 중 피보험자의 감소의 경우는 해당 피보험자의 계약은 해지된 것으로 하며 새로이 증가 또는 교체되는
피보험자의 보험기간은 이 계약의 남은 보험기간으로 하고, 이로 인하여 발생되는 추가 또는 환급보험료는 일단위
로 계산하여 받거나 돌려드립니다.
③ 회사는 제1항 및 제2항을 위반하였을 경우에 새로이 증가 또는 교체되는 해당 피보험자에 대하여는 보상하여 드리
지 않습니다.
④ 제1항에 따라 피보험자가 교체되는 경우에는 피보험자 교체 전 계약과 동일한 보장조건 및 인수기준에 따라 가입될
수 있으며, 피보험자 교체시점부터 잔여 보험기간(피보험자 교체 전 계약의 보험기간 만료일)까지 보상하여 드립니"
